zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Gemini,Am I on the right track with my healing journey?,The Magician,Seven of Wands,Four of Wands,"Gemini, you have the tools and strength to heal (The Magician).  You're facing challenges but holding your ground (Seven of Wands). Stability and joy are within reach (Four of Wands).  Keep focusing on your goals.",health,POSITIVE,POSITIVE
Scorpio,How can I find motivation to take better care of myself?,The Fool,Knight of Cups,Eight of Wands,"Reading:  Scorpio, The Fool encourages a fresh start with self-care. The Knight of Cups suggests connecting with activities you enjoy. The Eight of Wands shows quick progress if you start now.  Just take the first step!",health,NEGATIVE,POSITIVE
Gemini,Should I be concerned about this recurring symptom?,Page of Cups,Ten of Pentacles,The Sun,"Reading:  The Page of Cups suggests you're overthinking this minor issue. The Ten of Pentacles and The Sun show good overall health and stability.  Don't worry too much, but get it checked out if it bothers you.",health,NEGATIVE,POSITIVE
Cancer,What support do I need on my wellness journey?,The Chariot,Queen of Pentacles,Judgement,"Cancer, The Chariot shows you need to take control of your wellness journey. The Queen of Pentacles suggests grounding yourself with practical, daily routines. Judgement encourages reflecting on past habits to inform future choices.  Focus on creating sustainable lifestyle changes.",health,POSITIVE,POSITIVE
Sagittarius,How can I release anxiety and find peace?,King of Swords,The Hanged Man,The Moon,"Reading:  Sagittarius, the King of Swords encourages clear thinking to cut through anxious thoughts. The Hanged Man suggests pausing and seeing things from a new perspective.  The Moon hints at unresolved subconscious issues fueling your anxiety.  Take a step back to understand yourself better.",health,NEGATIVE,POSITIVE
Libra,What do I need to let go of to heal fully?,King of Cups,Seven of Swords,The Chariot,"Libra, the King of Cups, Seven of Swords, and The Chariot suggest releasing suppressed emotions and sneaky behaviors.  You're ready to move forward with control and focus.  Prioritize honest communication for continued healing.",health,NEGATIVE,POSITIVE
Pisces,Am I on the right track with my healing journey?,King of Swords,Ten of Cups,Page of Swords,Reading:  The King of Swords shows you're thinking clearly about your needs.  The Ten of Cups suggests emotional fulfillment is within reach. The Page of Swords hints at new insights coming soon. Stay open to new perspectives.,health,POSITIVE,POSITIVE
Aries,What does the future hold for my mental health?,Six of Pentacles,Six of Swords,Queen of Cups,"Aries, you're moving away from stressful situations towards emotional balance.  Giving and receiving support will play a key role in this transition. You’ll find stability and greater self-awareness. Focus on nurturing your emotional well-being.",health,NEGATIVE,POSITIVE
Gemini,How can I release fear about my health?,Queen of Pentacles,Seven of Wands,The Fool,"Reading:  Gemini, the Queen of Pentacles shows you have the resources to manage this. The Seven of Wands encourages you to defend your peace against anxious thoughts.  The Fool reminds you to embrace new approaches to wellness.  Focus on practical self-care and try something different.",health,NEGATIVE,POSITIVE
Taurus,Is stress affecting my body more than I realize?,Eight of Swords,Five of Wands,Three of Wands,"Taurus, you're feeling trapped by stress (Eight of Swords), and it's causing unnecessary conflict (Five of Wands), blocking your progress (Three of Wands). This suggests your body is indeed reacting to stress.  Prioritize self-care and stress management techniques.",health,NEGATIVE,NEGATIVE
Aries,What does my body need right now?,Eight of Wands,Four of Wands,Eight of Swords,"Aries, your body craves movement and a release of energy, but you feel stuck.  Prioritize exercise, even small amounts, to break through this feeling.  Get active to feel free.",health,NEGATIVE,NEGATIVE
Leo,What does my body want to tell me?,Queen of Swords,Three of Swords,Seven of Swords,"Reading:  Leo, your body is asking for clear boundaries.  It's telling you to release emotional burdens you've been carrying.  Address some difficult truths to move forward.  Prioritize your emotional and mental health.",health,NEGATIVE,POSITIVE
Libra,What hidden factors may be affecting my well-being?,Five of Pentacles,Five of Swords,Seven of Cups,"Reading:  Libra, you may be overlooking practical needs, leading to feelings of isolation (Five of Pentacles).  Conflict avoidance could be creating more internal stress (Five of Swords).  Too many choices are distracting you from what truly matters (Seven of Cups).  Focus on your core values and simplify.",health,NEGATIVE,NEGATIVE
Aries,Am I neglecting any part of my well-being?,Six of Wands,Nine of Wands,Ace of Pentacles,"Reading:  The Six of Wands shows you're succeeding, but the Nine of Wands suggests you're pushing too hard.  The Ace of Pentacles hints you may be overlooking your physical health. Pace yourself and prioritize self-care.",health,NEGATIVE,NEGATIVE
Scorpio,Am I being too hard on my body?,The Hierophant,Four of Wands,The Hermit,"Reading:  The Hierophant suggests you're following a strict routine.  Four of Wands shows this structure offers some stability, but The Hermit points towards needed solo time for reflection.  Ease up a little and prioritize rest.",health,NEGATIVE,NEGATIVE
Sagittarius,Am I neglecting any part of my well-being?,Eight of Swords,Three of Swords,The Chariot,"Reading:  Sagittarius, you may be limiting yourself mentally (Eight of Swords) and experiencing emotional burdens (Three of Swords).  However, you have the power to overcome these challenges (The Chariot). Focus on self-care and taking control.",health,NEGATIVE,POSITIVE
Taurus,What area of my life is out of alignment with my health?,Page of Wands,Two of Swords,The Star,"Reading:  Your creative energy (Page of Wands) is blocked by indecision (Two of Swords), preventing healing (The Star). This suggests your mental health is affecting your physical wellbeing. Try making small decisions to get your energy flowing again.",health,NEGATIVE,NEGATIVE
Sagittarius,Am I being too hard on my body?,The Hierophant,Nine of Swords,Ace of Pentacles,"Reading:  The Hierophant suggests you're following a strict routine.  Nine of Swords shows this may be causing stress and worry about your body. The Ace of Pentacles offers a chance for a fresh, healthy start.  Try a gentler approach to wellness.",health,NEGATIVE,POSITIVE
Scorpio,How can I better manage my emotional health?,Five of Wands,Strength,Two of Wands,"Reading:  Scorpio, the Five of Wands suggests you're facing internal conflicts. Strength shows you have the power to overcome these.  The Two of Wands indicates you need to choose a direction for your emotional well-being.  Focus your energy and choose a path forward.",health,NEGATIVE,POSITIVE
Leo,Is stress affecting my body more than I realize?,Page of Swords,Six of Pentacles,Four of Pentacles,"Reading:  Leo, the cards suggest you're overthinking things (Page of Swords) but also giving your energy unevenly (Six of Pentacles).  Holding on too tight is adding to the burden (Four of Pentacles). Try delegating tasks and relaxing your grip.",health,NEGATIVE,NEGATIVE
Cancer,Is now a good time to focus on fitness?,Knight of Wands,The Hanged Man,Nine of Cups,"Reading:  The Knight of Wands encourages enthusiastic action, but The Hanged Man suggests pausing to reflect on your approach.  The Nine of Cups hints that you’ll be happy with the results if you listen to your intuition.  Consider your current emotional state before diving in.",health,POSITIVE,POSITIVE
Aquarius,"How can I bring balance to my mind, body, and spirit?",Two of Pentacles,Eight of Pentacles,Six of Cups,"Reading:  Aquarius, you're juggling a lot right now, but keep practicing those healthy habits.  Focus on the small, joyful things that nourish your inner child.  This will help you find equilibrium.  Small steps, big impact.",health,POSITIVE,POSITIVE
Scorpio,How can I develop a better sleep routine?,Page of Wands,King of Pentacles,King of Cups,"Reading:  Scorpio, the Page of Wands sparks your playful side; schedule relaxing pre-sleep activities.  The Kings of Pentacles and Cups encourage consistency and emotional balance; prioritize a regular schedule and wind-down routine. Create a calming bedtime ritual.",health,NEGATIVE,POSITIVE
Pisces,What should I be more mindful of physically or emotionally?,Three of Pentacles,Page of Wands,Temperance,"Reading:  Pisces, the Three of Pentacles suggests focusing on collaboration and teamwork, while the Page of Wands encourages embracing new ideas and expressing your creativity.  Temperance highlights the need for balance and moderation in your physical and emotional realms. Find a healthy balance between work, creative pursuits, and self-care.",health,NEGATIVE,POSITIVE
Capricorn,How can I create a healthier lifestyle?,Six of Wands,Nine of Cups,Three of Cups,"Capricorn, the Six of Wands suggests acknowledging your wins, big or small. The Nine of Cups shows contentment is within reach through mindful choices.  The Three of Cups encourages finding joy in shared activities and supportive connections.  Celebrate progress, embrace healthy pleasures, and connect with others.",health,NEGATIVE,POSITIVE
Gemini,Will my healing be quick or slow?,Ace of Wands,The Sun,Eight of Swords,"Gemini, your healing journey starts with inspiration (Ace of Wands) and will ultimately bring joy (The Sun).  However, mental blocks (Eight of Swords) might slow things down a bit.  Focus on overcoming your limiting beliefs.",health,NEGATIVE,POSITIVE
Virgo,How can I better manage my emotional health?,Page of Wands,Queen of Pentacles,Six of Swords,"Reading:  Virgo, the Page of Wands sparks your creativity to explore new self-care activities.  The Queen of Pentacles reminds you to ground yourself in practical routines. The Six of Swords suggests moving away from emotionally draining situations. Try something new, establish a routine, and create healthy boundaries.",health,NEGATIVE,POSITIVE
Aries,What does the future hold for my mental health?,Page of Wands,The World,The Devil,"Reading:  Aries, you're entering a phase of exciting new ideas (Page of Wands), but unhealthy patterns may hold you back (The Devil) from feeling truly complete (The World). You have the energy for positive change, but watch out for old habits.  Focus on breaking free from what's been holding you back.",health,NEGATIVE,POSITIVE
Pisces,How can I create a deeper mind-body connection?,Seven of Cups,Eight of Cups,Three of Pentacles,"Pisces, the Seven and Eight of Cups suggest you're feeling overwhelmed by choices and may be walking away from something unfulfilling. The Three of Pentacles encourages you to focus on practical, grounded activities like yoga or mindful crafting.  Prioritize consistent action over daydreaming to build that connection.",health,NEGATIVE,POSITIVE
Cancer,What should I be more mindful of physically or emotionally?,Nine of Cups,Three of Swords,Queen of Pentacles,"Reading:  Cancer, you're close to achieving emotional fulfillment, but past hurts (Three of Swords) may hold you back.  Nurture your practical side (Queen of Pentacles) and don't take setbacks personally.  Focus on self-care and grounding.",health,NEGATIVE,POSITIVE
Gemini,What is the spiritual cause of my physical issues?,Knight of Pentacles,Wheel of Fortune,Two of Cups,"Gemini, your grounded nature (Knight of Pentacles) is facing a cycle of change (Wheel of Fortune) impacting your closest relationships (Two of Cups).  This change may be disrupting your inner balance, manifesting as physical ailments.  Focus on nurturing your key relationships for healing.",health,NEGATIVE,POSITIVE
Scorpio,What emotional blocks are impacting my health?,Ten of Swords,Eight of Pentacles,Queen of Swords,"Reading:  Scorpio, the Ten of Swords suggests you're carrying past hurts.  The Eight of Pentacles shows you're focusing on repetitive negative thoughts. The Queen of Swords encourages clear boundaries and letting go.  Process old pain to improve your well-being.",health,NEGATIVE,POSITIVE
Leo,How can I create a deeper mind-body connection?,Five of Swords,The Sun,Ten of Pentacles,"Reading:  Leo, the Five of Swords suggests letting go of mental battles. The Sun and Ten of Pentacles signal embracing joyful movement and grounding activities.  Focus on physical activities you truly enjoy.",health,NEGATIVE,POSITIVE
Aquarius,Am I on the right track with my healing journey?,Eight of Swords,Two of Pentacles,King of Wands,"Aquarius, you feel stuck, but you're juggling your healing well.  The King of Wands shows you have the inner fire to push through.  Keep your eye on your goals and trust your intuition.",health,POSITIVE,POSITIVE
Capricorn,What is my intuition telling me about my health?,Nine of Cups,The Sun,Page of Pentacles,"Reading:  The Nine of Cups suggests your emotional health is good, bringing contentment. The Sun and Page of Pentacles indicate a positive outlook and the opportunity to start new healthy habits.  Focus on grounding practices for overall well-being.",health,NEGATIVE,POSITIVE
Aries,How can I develop a better sleep routine?,The Hermit,The Devil,Nine of Swords,"Aries, you're overstimulated and anxieties are keeping you up.  The Devil card shows unhealthy dependencies interfering with rest. The Hermit suggests a period of introspection and disconnecting before bed will help. Prioritize winding down to ease your Nine of Swords worries.",health,NEGATIVE,NEGATIVE
Leo,Am I on the right track with my healing journey?,King of Pentacles,Two of Cups,Six of Swords,"Leo, the King of Pentacles shows you're resourceful and grounded, while the Two of Cups highlights emotional connection.  The Six of Swords suggests you're moving away from difficult times.  Keep trusting your progress; you're heading in a good direction.",health,POSITIVE,POSITIVE
Cancer,What emotional blocks are impacting my health?,Page of Cups,Knight of Cups,Four of Pentacles,"Reading:  Cancer, you're clinging to past hurts (Page of Cups) and avoiding vulnerability (Knight of Cups), creating stress that manifests physically (Four of Pentacles). This might look like stomach aches or tension headaches.  Let go of emotional baggage to improve your well-being.",health,NEGATIVE,NEGATIVE
Leo,How can I cultivate more self-care in my life?,Six of Cups,Three of Swords,The Lovers,Reading:  The Six of Cups suggests revisiting joyful activities from your past. The Three of Swords indicates you need to release emotional baggage weighing you down. The Lovers highlights prioritizing what truly makes you happy.  Reconnect with simple pleasures and choose yourself.,health,NEGATIVE,POSITIVE
Gemini,What healing practices should I explore?,Wheel of Fortune,The Emperor,Death,"Gemini, the Wheel of Fortune suggests exploring practices involving cycles and change, like breathwork or meditation. The Emperor and Death cards point towards structured approaches and releasing old patterns, perhaps through journaling or therapy. Consider creating a routine to support your chosen practice.",health,POSITIVE,POSITIVE
Leo,"How can I bring balance to my mind, body, and spirit?",The Moon,Eight of Swords,Queen of Swords,"Reading:  The Moon reveals hidden anxieties clouding your judgment.  The Eight of Swords shows you feeling trapped, but you hold the key. The Queen of Swords encourages clear boundaries and logical thinking to cut through confusion.  Focus on practical self-care and honest reflection.",health,POSITIVE,POSITIVE
Aries,Is this health issue part of a greater transformation?,The Hermit,The Lovers,The Emperor,Reading:  The Hermit suggests you need some alone time to process this. The Lovers and The Emperor show a significant decision or change is coming related to your health. Take charge of your well-being and listen to your intuition.,health,NEGATIVE,POSITIVE
Gemini,How can I cultivate more self-care in my life?,King of Cups,The Tower,Ace of Pentacles,"Gemini, the King of Cups suggests balancing your emotions. The Tower signifies letting go of old habits that no longer serve you. The Ace of Pentacles offers a fresh start to build practical self-care routines.  Prioritize emotional balance and build healthy habits.",health,NEGATIVE,POSITIVE
Leo,How can I cultivate more self-care in my life?,The Hanged Man,The Fool,The Star,"Reading:  Leo, The Hanged Man suggests pausing your busy schedule.  The Fool encourages trying something new and fun. The Star offers hope; trust your intuition for rejuvenation.  Take a break, explore, and find what truly refreshes you.",health,NEGATIVE,POSITIVE
Leo,What is my relationship with food trying to teach me?,Four of Cups,King of Pentacles,Three of Swords,"Leo, you're overlooking available nourishment, likely focusing on emotional dissatisfaction (Four of Cups).  The King of Pentacles suggests grounding yourself in practical, sensory experiences with food. The Three of Swords hints at past hurts connected to body image or eating habits needing to be addressed.  Examine your emotional relationship with food to foster a healthier approach.",health,NEGATIVE,POSITIVE
Aries,How can I release anxiety and find peace?,Nine of Wands,Knight of Cups,Two of Swords,"Reading:  Aries, you're almost there, but guarding yourself too much.  Open yourself to emotional support, but don't overthink things. You've got the strength to finish this; be receptive to kindness.",health,NEGATIVE,POSITIVE
Taurus,Will my healing be quick or slow?,Knight of Pentacles,Nine of Swords,Three of Swords,"Taurus, healing takes time, shown by the Knight of Pentacles and Nine of Swords.  The Three of Swords suggests lingering emotional pain.  Be patient and focus on steady self-care.",health,NEGATIVE,POSITIVE
Aries,Will I recover fully from this illness?,Two of Wands,Three of Swords,Ace of Swords,"Aries, the Two of Wands suggests you're at a crossroads regarding your health.  The Three of Swords indicates some lingering pain or emotional difficulty.  The Ace of Swords signifies a fresh start and mental clarity is coming. Focus on making healthy choices to support your recovery.",health,NEGATIVE,POSITIVE
Aries,How can I release anxiety and find peace?,Five of Cups,Ten of Swords,Two of Cups,"Aries, the Five and Ten of Cups/Swords show you're dwelling on past hurts.  The Two of Cups suggests finding peace through connection.  Focus on nurturing relationships to move forward.",health,NEGATIVE,POSITIVE
Libra,What does the future hold for my mental health?,The Fool,The Lovers,Page of Cups,"Libra, your mental health journey involves new beginnings and important choices aligned with your values.  Emotional opportunities will appear, offering growth and playful exploration. Embrace this fresh perspective and trust your intuition.",health,NEGATIVE,POSITIVE
Scorpio,What do I need to let go of to heal fully?,The Tower,Knight of Wands,King of Cups,"Reading:  Scorpio, The Tower shows you need to release rigid control.  The Knight of Wands suggests dropping impulsive actions.  The King of Cups advises letting go of emotional baggage.  Embrace change and find balance.",health,NEGATIVE,NEGATIVE
Scorpio,How can I create a healthier lifestyle?,Four of Swords,Three of Pentacles,The Hanged Man,"Reading:  Scorpio, the Four of Swords suggests you need rest and mental clarity. The Three of Pentacles points towards collaborating and seeking expert advice.  The Hanged Man encourages a shift in perspective on your current habits. Prioritize rest, teamwork, and new viewpoints for a healthier you.",health,NEGATIVE,POSITIVE
Pisces,What does the universe want me to know about my health?,The Hanged Man,Two of Wands,King of Cups,"Reading:  Pisces, you're in a waiting period regarding health, needing to shift your perspective (The Hanged Man).  You have a big decision ahead, requiring balance and planning (Two of Wands).  Manage your emotions effectively for best outcomes (King of Cups). Prioritize both your mental and physical wellbeing.",health,NEGATIVE,POSITIVE
Taurus,How can I cultivate more self-care in my life?,Nine of Cups,Knight of Pentacles,King of Swords,"Taurus, the Nine of Cups suggests you already have much to be grateful for. The Knight of Pentacles encourages slow, steady progress towards practical self-care habits. The King of Swords reminds you to set healthy boundaries. Start small and be consistent.",health,NEGATIVE,POSITIVE
Leo,What small changes will make the biggest difference to my health?,Six of Wands,Ace of Cups,Knight of Cups,"Reading:  Leo, the Six of Wands suggests acknowledging small victories to build confidence. The Ace of Cups and Knight of Cups point to nurturing your emotional well-being through creative outlets. Prioritizing mental health will positively impact your physical health, too.  Focus on small, manageable steps.",health,NEGATIVE,POSITIVE
Aries,What area of my life is out of alignment with my health?,Six of Pentacles,Queen of Swords,Knight of Cups,"Aries, the Six of Pentacles, Queen of Swords, and Knight of Cups suggest your giving nature (Six of Pentacles) is clashing with your need for emotional boundaries (Queen of Swords), leading to some emotional imbalance (Knight of Cups).  This might be impacting how you give and receive support, impacting your overall wellbeing.  Prioritize setting healthy boundaries.",health,NEGATIVE,POSITIVE
Taurus,Will I recover fully from this illness?,The High Priestess,Seven of Cups,Justice,"Taurus, the High Priestess suggests you have inner strength, but the Seven of Cups shows some confusion around treatment options.  Justice points to a balanced recovery in time. Focus on making clear, informed decisions about your health.",health,NEGATIVE,POSITIVE
Cancer,What support do I need on my wellness journey?,The Hermit,King of Cups,King of Pentacles,"Cancer, The Hermit suggests you need alone time for reflection.  The Kings of Cups and Pentacles point to emotional balance and practical planning.  Prioritize self-care and create a realistic wellness routine.",health,POSITIVE,POSITIVE
Scorpio,"How can I bring balance to my mind, body, and spirit?",Four of Wands,Six of Wands,Six of Cups,"Reading:  Scorpio, the Four and Six of Wands suggest celebrating recent wins to ground yourself.  The Six of Cups hints at finding joy in simple pleasures and past hobbies. Reconnect with activities you love to balance your mind, body, and spirit.",health,POSITIVE,POSITIVE
Aquarius,Should I be concerned about this recurring symptom?,Eight of Pentacles,The Sun,Three of Swords,"Aquarius, the Eight of Pentacles suggests you're focused on this issue. The Sun and Three of Swords indicate a clear answer is coming, despite some emotional discomfort.  Focus on self-care while you wait for more information.",health,NEGATIVE,POSITIVE
Aries,How can I be more compassionate to my body?,Seven of Swords,The Magician,Eight of Pentacles,Reading:  The Seven of Swords suggests you're being sneaky with yourself about your health. The Magician and Eight of Pentacles show you have the power to build better habits.  Start small and be consistent with self-care.,health,NEGATIVE,POSITIVE
Aquarius,Am I neglecting any part of my well-being?,Four of Pentacles,Nine of Pentacles,Two of Swords,"Aquarius, you're holding tight to resources and enjoying your independence (Four of Pentacles, Nine of Pentacles), but you may be avoiding a tough decision about emotional needs (Two of Swords). This suggests you're focused on material security, perhaps at the expense of emotional vulnerability. Consider opening yourself up to new perspectives.",health,NEGATIVE,POSITIVE
Pisces,What role does movement play in my healing?,The High Priestess,The Lovers,The Hanged Man,"Reading:  Pisces, your intuition (High Priestess) guides you to choose the right path (Lovers), even if it requires stillness (Hanged Man).  This suggests healing involves both internal reflection and external action.  Find a balance between these two.",health,NEGATIVE,POSITIVE
Aries,What is the spiritual cause of my physical issues?,The World,Four of Swords,Six of Cups,"Reading:  You've completed a cycle and need rest to heal (The World, Four of Swords).  Reconnecting with joyful childhood memories can nourish your spirit (Six of Cups).  Focus on rest and happy memories to support your physical recovery.",health,NEGATIVE,POSITIVE
Libra,How can I cultivate more self-care in my life?,The Empress,Queen of Swords,Seven of Wands,Reading:  The Empress suggests nurturing your inner world and creating a comforting space.  The Queen of Swords encourages you to set healthy boundaries and prioritize your needs. The Seven of Wands reminds you to defend this time for yourself.  Make self-care a non-negotiable.,health,NEGATIVE,POSITIVE
Scorpio,How can I release anxiety and find peace?,Two of Wands,Page of Pentacles,The World,"Reading:  Scorpio, the Two of Wands suggests exploring new options to gain perspective.  The Page of Pentacles encourages a grounded, practical approach to self-care. The World confirms peace is attainable through mindful action.  Focus on small, achievable steps.",health,NEGATIVE,POSITIVE
Gemini,What role does rest play in my healing?,Five of Cups,Queen of Cups,Ten of Cups,"Gemini, the Five of Cups shows you dwelling on past hurts. The Queen of Cups and Ten of Cups suggest emotional maturity and fulfillment are possible through rest and self-care.  Prioritize rest to heal and find joy.",health,NEGATIVE,POSITIVE
Aries,What small changes will make the biggest difference to my health?,Nine of Swords,Six of Pentacles,Four of Pentacles,"Reading:  Aries, the Nine of Swords suggests you're overthinking health worries.  The Six of Pentacles points to sharing burdens and asking for support.  The Four of Pentacles shows a need to loosen your grip on rigid routines.  Try small, consistent changes and be kinder to yourself.",health,NEGATIVE,POSITIVE
Taurus,What does my body want to tell me?,Ace of Swords,Page of Cups,Two of Wands,"Taurus, your body craves clarity and new ideas (Ace of Swords).  It's also asking for gentle emotional nurturing (Page of Cups), and for you to make a small decision about your future path (Two of Wands).  Listen to your intuition and take a small step forward.",health,NEGATIVE,POSITIVE
Libra,What should I be more mindful of physically or emotionally?,Two of Swords,Page of Cups,Eight of Pentacles,"Libra, you're avoiding a difficult decision (Two of Swords), but new emotional insights are coming (Page of Cups).  Focus on developing healthy routines and self-care practices (Eight of Pentacles).  Embrace the coming clarity and nurture yourself.",health,NEGATIVE,POSITIVE
Capricorn,Am I ignoring signs from my body?,Seven of Wands,Queen of Wands,Six of Swords,"Capricorn, the Seven and Queen of Wands show you're pushing yourself despite internal resistance. The Six of Swords suggests a need for rest and recuperation. Your body is telling you to slow down and prioritize self-care.",health,NEGATIVE,NEGATIVE
Sagittarius,What does my body need right now?,The Hierophant,Ten of Cups,Six of Swords,Reading:  The Hierophant suggests sticking to routines and trusted methods for wellness. Ten of Cups shows your body craves emotional fulfillment and connection.  Six of Swords indicates a need for rest and a change of pace or scenery.  Prioritize self-care and emotional wellbeing through established routines and a restful break.,health,NEGATIVE,POSITIVE
Taurus,Am I being too hard on my body?,Three of Swords,Seven of Wands,The Moon,"Taurus, the Three of Swords, Seven of Wands, and the Moon suggest you're pushing yourself too hard, likely while battling internal doubts. Defensiveness and anxiety cloud your judgment about your limits.  Ease up on yourself and listen to your body's needs.",health,NEGATIVE,NEGATIVE
Gemini,What energy is surrounding my current health status?,Seven of Wands,Page of Pentacles,Queen of Cups,"Reading:  You're facing minor health challenges that require sustained effort.  A practical approach and self-care are key right now.  Emotional balance will support your wellbeing.  Focus on small, consistent steps.",health,NEGATIVE,POSITIVE
Gemini,What does my body need right now?,The High Priestess,Two of Swords,King of Pentacles,"Reading:  Gemini, your intuition (High Priestess) knows the answer, but you're overthinking it (Two of Swords).  Focus on grounding, practical self-care (King of Pentacles), like good food and rest.  Listen to your gut and keep it simple.",health,NEGATIVE,POSITIVE
Taurus,Should I be concerned about this recurring symptom?,Ace of Cups,Five of Pentacles,The Hermit,"Taurus, the Ace of Cups suggests new emotional beginnings, but the Five of Pentacles indicates you may be neglecting your health. The Hermit advises introspection and seeking expert advice.  Get it checked out.",health,NEGATIVE,NEGATIVE
Cancer,How can I find motivation to take better care of myself?,Six of Pentacles,Six of Cups,Knight of Cups,"Reading:  The Six of Pentacles suggests finding balance by sharing your care with others.  Nostalgia (Six of Cups) reminds you of past joys – rediscover those activities. The Knight of Cups encourages you to follow your heart's desires for self-care.  Start small, and be kind to yourself.",health,NEGATIVE,POSITIVE
Libra,Am I ignoring signs from my body?,Nine of Cups,The High Priestess,Seven of Wands,"Libra, the Nine of Cups suggests you're focusing on surface desires, while the High Priestess and Seven of Wands point to untapped inner wisdom and the need to defend your well-being.  You might be overlooking subtle signals your body is sending. Listen to your intuition and prioritize self-care.",health,NEGATIVE,POSITIVE
Taurus,What emotional blocks are impacting my health?,Three of Pentacles,Knight of Cups,Eight of Swords,"Taurus, the Three of Pentacles suggests you're not collaborating enough for support. The Knight of Cups and Eight of Swords reveal repressed emotions and feeling trapped by your own thoughts.  Focus on open communication and release those bottled-up feelings.",health,NEGATIVE,NEGATIVE
Sagittarius,Am I neglecting any part of my well-being?,King of Swords,Three of Wands,Two of Cups,"Sagittarius, the King of Swords suggests you're strong mentally, but the Three of Wands hints you may be overlooking future emotional needs. The Two of Cups appearing with it encourages you to nurture your close relationships.  Prioritize connecting with loved ones.",health,NEGATIVE,POSITIVE
Leo,How can I create a healthier lifestyle?,Six of Wands,The Devil,Wheel of Fortune,"Reading:  Leo, the Six of Wands shows you achieving success through discipline. The Devil reveals unhealthy habits holding you back, but the Wheel of Fortune signifies positive change is coming.  Focus on building new routines that serve you.",health,NEGATIVE,POSITIVE
Virgo,Should I be concerned about this recurring symptom?,Six of Cups,Strength,Two of Cups,"Reading:  The Six of Cups suggests this symptom links to something familiar.  Strength shows you have the power to manage it. The Two of Cups indicates support is available if needed. Don't worry too much, but do seek advice if it persists.",health,NEGATIVE,POSITIVE
Capricorn,How can I better support my physical well-being?,The Hanged Man,Three of Wands,Seven of Cups,"Capricorn, The Hanged Man suggests pausing your routine for introspection.  The Three of Wands shows exploring new wellness options will expand your horizons. The Seven of Cups indicates too many choices can be overwhelming, so start with one small change.  Choose one thing and stick with it.",health,NEGATIVE,POSITIVE
Libra,How can I better manage my emotional health?,Two of Cups,Six of Wands,Four of Pentacles,"Libra, the Two of Cups suggests nurturing your close relationships. The Six of Wands points to celebrating small wins to boost confidence.  The Four of Pentacles reminds you to establish healthy boundaries. Prioritize connection, acknowledge progress, and protect your energy.",health,NEGATIVE,POSITIVE
Sagittarius,What is the spiritual cause of my physical issues?,Nine of Swords,The Sun,Nine of Pentacles,"Reading:  Sagittarius, your anxieties (Nine of Swords) are blocking your natural joy (The Sun) and self-sufficiency (Nine of Pentacles).  This stress manifests as physical problems. Focus on stress reduction and self-care.",health,NEGATIVE,NEGATIVE
Libra,Am I listening to the signals my body is sending me?,Page of Swords,The High Priestess,The Magician,"Reading:  The Page of Swords suggests you're curious but hesitant to explore your inner world. The High Priestess and Magician confirm a strong intuition and the power to create change. Trust your gut, Libra, and prioritize your well-being.",health,NEGATIVE,POSITIVE
Aquarius,Am I listening to the signals my body is sending me?,Nine of Swords,Death,Strength,"Aquarius, the Nine of Swords suggests you're overthinking and worrying, hindering your ability to truly listen to your body.  Death and Strength show a transformation is coming where you'll find the inner power to prioritize your well-being.  Focus on self-care and trust your intuition.",health,NEGATIVE,NEGATIVE
Libra,How can I cultivate more self-care in my life?,Justice,The Moon,Five of Cups,"Libra, Justice suggests finding balance in your schedule. The Moon and Five of Cups reveal you're dwelling on past disappointments; let them go.  Prioritize what truly fulfills you to find peace.",health,NEGATIVE,POSITIVE
Leo,What does the future hold for my mental health?,The Devil,Eight of Pentacles,Seven of Pentacles,"Leo, you might feel stuck in unhealthy patterns (The Devil) but you're working hard to improve (Eight of Pentacles). You'll need patience to see results (Seven of Pentacles). Keep focusing on self-improvement.",health,NEGATIVE,NEGATIVE
Aquarius,What should I prioritize to feel healthier?,Nine of Cups,The Hanged Man,The Tower,"Aquarius, the Nine of Cups suggests focusing on emotional fulfillment, but The Hanged Man points to a need for a shift in perspective.  The Tower reveals unhealthy structures must be demolished for true well-being.  Prioritize releasing emotional baggage and changing your outlook.",health,NEGATIVE,NEGATIVE
Capricorn,What energy is surrounding my current health status?,Six of Pentacles,The High Priestess,Two of Wands,Reading:  You're giving and receiving support regarding your well-being (Six of Pentacles).  Trust your intuition about your health (The High Priestess).  You have the power to make healthy choices (Two of Wands).  Focus on balance and listen to your inner voice.,health,NEGATIVE,POSITIVE
Cancer,Is now a good time to focus on fitness?,Ten of Pentacles,Three of Swords,Page of Cups,"Reading:  The Ten of Pentacles suggests you have the resources for this, but the Three of Swords hints at emotional blocks. The Page of Cups encourages gentle exploration of your feelings around fitness.  Start slow and prioritize emotional well-being.",health,POSITIVE,POSITIVE
Virgo,Will I overcome this chronic condition?,Two of Cups,Eight of Swords,Strength,"Virgo, the Two of Cups suggests support is available. The Eight of Swords shows you feel trapped by this condition, but Strength reveals your inner resilience.  Focus on building supportive relationships and inner strength to navigate this.",health,NEGATIVE,POSITIVE
